name,abbrv,formula,state,ref1,ref2,date,G,H,S,Cp,V,a1.a,a2.b,a3.c,a4.d,c1.e,c2.f,omega.lambda,z.T
Tb(Ac)3,NA,Tb(CH3COO)3,aq,"SK93 [S98]",NA,10.Sep.92,-432390,-526470,-2.3,197.7,110.3,16.8495,33.3603,-7.3624,-4.158,121.7569,37.2376,-0.03,0
Dy(Ac)+2,NA,DyCH3COO+2,aq,"SK93 [S98]",NA,11.Sep.92,-250590,-286150,-34.2,74,4.1,2.8591,-0.797,6.0561,-2.746,64.072,12.0356,1.579,2
Dy(Ac)2+,NA,Dy(CH3COO)2+,aq,"SK93 [S98]",NA,11.Sep.92,-341450,-405710,-16.3,172.2,54,9.4257,15.233,-0.2363,-3.4086,114.4678,32.0457,0.8002,1
Dy(Ac)3,NA,Dy(CH3COO)3,aq,"SK93 [S98]",SLOP98.6,2.Jun.98,-431590,-526752,-5.4,263,109.6,16.7548,33.1279,-7.2677,-4.1484,160.0243,50.5384,-0.03,0
Ho(Ac)+2,NA,HoCH3COO+2,aq,"SK93 [S98]",NA,11.Sep.92,-253270,-288520,-32.9,70.4,3.1,2.7148,-1.1553,6.2089,-2.7311,61.7679,11.3023,1.5579,2
Ho(Ac)2+,NA,Ho(CH3COO)2+,aq,"SK93 [S98]",NA,11.Sep.92,-344120,-407930,-14.6,165.2,52.9,9.2621,14.8317,-0.0744,-3.392,110.0599,30.6149,0.7686,1
Ho(Ac)3,NA,Ho(CH3COO)3,aq,"SK93 [S98]",SLOP98.6,2.Jun.98,-434250,-528736,-3.1,251.1,108.4,16.5845,32.713,-7.107,-4.1313,153.0665,48.1201,-0.03,0
Er(Ac)+2,NA,ErCH3COO+2,aq,"SK93 [S98]",NA,11.Sep.92,-251770,-288520,-38.6,68.1,1.5,2.5305,-1.6022,6.3787,-2.7127,61.2455,10.8439,1.6444,2
Er(Ac)2+,NA,Er(CH3COO)2+,aq,"SK93 [S98]",NA,11.Sep.92,-342620,-408540,-22.3,160.8,51.2,9.0662,14.3528,0.1146,-3.3722,108.6293,29.7206,0.8926,1
Er(Ac)3,NA,Er(CH3COO)3,aq,"SK93 [S98]",NA,11.Sep.92,-432750,-529992,-13.2,243.7,106.4,16.3195,32.0657,-6.852,-4.1045,148.7181,46.6086,-0.03,0
Tm(Ac)+2,NA,TmCH3COO+2,aq,"SK93 [S98]",NA,11.Sep.92,-251770,-288500,-38.3,68.1,1.5,2.5268,-1.6112,6.3814,-2.7123,61.1431,10.8439,1.6332,2
Tm(Ac)2+,NA,Tm(CH3COO)2+,aq,"SK93 [S98]",NA,11.Sep.92,-342620,-408490,-21.9,160.8,51.2,9.0621,14.3448,0.1131,-3.3719,108.5166,29.7206,0.8803,1
Tm(Ac)3,NA,Tm(CH3COO)3,aq,"SK93 [S98]",NA,11.Sep.92,-432750,-529900,-12.7,243.7,106.4,16.3195,32.0657,-6.852,-4.1045,148.7181,46.6086,-0.03,0
