name,abbrv,formula,state,ref1,ref2,date,G,H,S,Cp,V,a1.a,a2.b,a3.c,a4.d,c1.e,c2.f,omega.lambda,z.T
chalcopyrite,Ccp,CuFeS2,cr3,"HDNB78 [S92]",CHNOSZ.1,5.May.78,-46119.409,-49143.645,19.5073,NA,42.83,41.22,0,0,0,0,0,0,1200
chloritoid,Cld,FeAl2SiO5(OH)2,cr,"HDNB78 [S92]",NA,5.May.78,NA,NA,42.1,NA,69.8,60.63,17.13,-13.63,0,0,0,0,1000
chrysotile,Ctl,Mg3Si2O5(OH)4,cr,"HDNB78 [S92]",NA,5.May.78,-964871,-1043123,52.9,NA,108.5,75.82,31.6,-17.58,0,0,0,0,1000
cinnabar,Cin,HgS,cr,"HDNB78 [S92]",NA,5.May.78,-10940,-12750,19.7,NA,28.416,10.46,3.72,0,0,0,0,0,618
"clinochlore,14a",14A-Cnc,Mg5Al(AlSi3)O10(OH)8,cr,"HDNB78 [S92]",NA,5.May.78,-1961703,-2116964,111.2,NA,207.11,166.5,42.1,-37.47,0,0,0,0,900
"clinochlore,7a",7A-Cnc,Mg5Al(AlSi3)O10(OH)8,cr1,"HDNB78 [S92]",NA,5.May.78,-1957101,-2113197,106.5,NA,211.5,162.82,50.62,-40.88,0,0,0,0,848
"clinochlore,7a",7A-Cnc,Mg5Al(AlSi3)O10(OH)8,cr2,"HDNB78 [S92]",CHNOSZ.1,5.May.78,-1957104.895,NA,105.2767,NA,211.5,166.01,44.36,-38.18,0,0,0,0,900
clinozoisite,Czo,Ca2Al3Si3O12(OH),cr,"HDNB78 [S92]","SPRONS92.2",15.Mar.90,-1549240,-1643781,70.64,NA,136.2,106.118,25.214,-27.145,0,0,0,0,700
coesite,Cos,SiO2,cr1,"HDNB78 [S92]",NA,5.May.78,-203541,-216614,9.65,NA,20.641,11,8.2,-2.7,0,0,0,0,848
coesite,Cos,SiO2,cr2,"HDNB78 [S92]",CHNOSZ.1,5.May.78,-203544.895,NA,8.4267,NA,20.641,14.19,1.94,0,0,0,0,0,2000
